votes,majority_vote
['not-dark-pattern'],['not-dark-pattern']
['Covert'],['Covert']
"['Restrictive', 'Hides-Informations']","['Restrictive', 'Hides-Informations']"
['not-dark-pattern'],['not-dark-pattern']
"['Hides-Informations', 'Covert']","['Hides-Informations', 'Covert']"
"['Hides-Informations', 'Covert', 'not-dark-pattern']","['Hides-Informations', 'Covert']"
"['Hides-Informations', 'not-dark-pattern']",['not-dark-pattern']
"['Hides-Informations', 'not-dark-pattern', 'Deceptive']",['Hides-Informations']
"['Hides-Informations', 'not-sure', 'Deceptive']",['Hides-Informations']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'Hides-Informations']","['Restrictive', 'Hides-Informations']"
['not-dark-pattern'],['not-dark-pattern']
"['Asymmetric', 'not-dark-pattern']",['not-dark-pattern']
"['Hides-Informations', 'Covert', 'Disparate-Treatment']","['Hides-Informations', 'Covert']"
"['not-sure', 'not-dark-pattern']",['not-dark-pattern']
"['Asymmetric', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'Hides-Informations', 'Disparate-Treatment']","['Restrictive', 'Hides-Informations', 'Disparate-Treatment']"
"['Asymmetric', 'Deceptive']",['Deceptive']
['not-dark-pattern'],['not-dark-pattern']
"['cannot-see', 'not-dark-pattern']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'Hides-Informations']",['Restrictive']
"['Restrictive', 'Hides-Informations']",['Hides-Informations']
['Covert'],['Covert']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'Hides-Informations']","['Restrictive', 'Hides-Informations']"
"['Restrictive', 'Hides-Informations', 'Disparate-Treatment']","['Restrictive', 'Hides-Informations', 'Disparate-Treatment']"
"['Asymmetric', 'not-dark-pattern']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Hides-Informations', 'Covert']","['Hides-Informations', 'Covert']"
['not-dark-pattern'],['not-dark-pattern']
"['not-sure', 'not-dark-pattern']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Hides-Informations', 'not-dark-pattern']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'Hides-Informations']","['Restrictive', 'Hides-Informations']"
['not-dark-pattern'],['not-dark-pattern']
['Covert'],['Covert']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['Restrictive']
"['not-sure', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'Hides-Informations']","['Restrictive', 'Hides-Informations']"
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Hides-Informations', 'Covert', 'Disparate-Treatment']","['Hides-Informations', 'Covert']"
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'Disparate-Treatment']",['Restrictive']
"['Hides-Informations', 'not-dark-pattern']",['not-dark-pattern']
"['not-dark-pattern', 'Deceptive']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Hides-Informations', 'Covert', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'Hides-Informations', 'Deceptive']",['Hides-Informations']
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['not-dark-pattern', 'Deceptive']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Hides-Informations', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Hides-Informations', 'Covert', 'Deceptive']","['Hides-Informations', 'Covert']"
"['Hides-Informations', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern', 'Deceptive']",['Restrictive']
"['Restrictive', 'Asymmetric', 'not-dark-pattern']",['not-dark-pattern']
"['Hides-Informations', 'Covert']","['Hides-Informations', 'Covert']"
"['Restrictive', 'Hides-Informations']","['Restrictive', 'Hides-Informations']"
"['Covert', 'not-dark-pattern']",['not-dark-pattern']
"['Hides-Informations', 'Covert']","['Hides-Informations', 'Covert']"
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Hides-Informations', 'Deceptive']",['Hides-Informations']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Hides-Informations', 'not-dark-pattern']",['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Hides-Informations', 'Deceptive']",['Hides-Informations']
['not-dark-pattern'],['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['not-dark-pattern']
"['Asymmetric', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'not-dark-pattern']",['Restrictive']
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
['not-dark-pattern'],['not-dark-pattern']
"['Asymmetric', 'not-dark-pattern']",['not-dark-pattern']
"['Restrictive', 'Hides-Informations']",['Restrictive']
"['not-dark-pattern', 'Covert', 'Asymmetric']",['Asymmetric']
"['Restrictive', 'Deceptive']",['Restrictive']
